,firstAlg,secondAlg,step,firstOut,secondOut,firstGain,secondGain,firstPoints,secondPoints,firstMean,firstStd,secondMean,secondStd
99,random,random,99,True,True,2,2,137,167,149.4,12.870120434556934,150.3,13.638548309845884
199,random,titForTat,99,False,False,1,1,141,138,152.4,5.885575587824865,150.6,6.232174580353154
299,random,alwaysTrue,99,False,True,3,0,250,100,251.5,4.224926034855522,97.0,8.449852069711044
399,random,alwaysFalse,99,True,False,0,3,42,216,51.1,5.223983154643591,197.8,10.447966309287182
499,random,forgivingTitForTat,99,True,False,0,3,202,118,198.8,7.8587530817554,121.4,3.8522720568516444
599,random,strategyChecker,99,False,False,1,1,153,147,163.2,36.24858617932568,138.3,15.485799947048264
699,titForTat,random,99,True,False,0,3,149,152,148.9,3.6180105030251086,149.8,4.467661580737735
799,titForTat,titForTat,99,True,True,2,2,200,200,200.0,0.0,200.0,0.0
899,titForTat,alwaysTrue,99,True,True,2,2,200,200,200.0,0.0,200.0,0.0
999,titForTat,alwaysFalse,99,False,False,1,1,99,102,99.0,0.0,102.0,0.0
1099,titForTat,forgivingTitForTat,99,True,True,2,2,200,200,200.0,0.0,200.0,0.0
1199,titForTat,strategyChecker,99,True,True,2,2,197,197,197.0,0.0,197.0,0.0
1299,alwaysTrue,random,99,True,False,0,3,96,252,101.2,9.389355675444401,249.4,4.6946778377222005
1399,alwaysTrue,titForTat,99,True,True,2,2,200,200,200.0,0.0,200.0,0.0
1499,alwaysTrue,alwaysTrue,99,True,True,2,2,200,200,200.0,0.0,200.0,0.0
1599,alwaysTrue,alwaysFalse,99,True,False,0,3,0,300,0.0,0.0,300.0,0.0
1699,alwaysTrue,forgivingTitForTat,99,True,True,2,2,200,200,200.0,0.0,200.0,0.0
1799,alwaysTrue,strategyChecker,99,True,False,0,3,4,298,4.0,0.0,298.0,0.0
1899,alwaysFalse,random,99,False,False,1,1,214,43,198.0,8.0,51.0,4.0
1999,alwaysFalse,titForTat,99,False,False,1,1,102,99,102.0,0.0,99.0,0.0
2099,alwaysFalse,alwaysTrue,99,False,True,3,0,300,0,300.0,0.0,0.0,0.0
2199,alwaysFalse,alwaysFalse,99,False,False,1,1,100,100,100.0,0.0,100.0,0.0
2299,alwaysFalse,forgivingTitForTat,99,False,False,1,1,102,99,102.0,0.0,99.0,0.0
2399,alwaysFalse,strategyChecker,99,False,False,1,1,104,98,104.0,0.0,98.0,0.0
2499,forgivingTitForTat,random,99,False,True,3,0,125,200,124.0,5.2345009313209605,199.3,4.382921400162225
2599,forgivingTitForTat,titForTat,99,True,True,2,2,200,200,200.0,0.0,200.0,0.0
2699,forgivingTitForTat,alwaysTrue,99,True,True,2,2,200,200,200.0,0.0,200.0,0.0
2799,forgivingTitForTat,alwaysFalse,99,False,False,1,1,99,102,99.0,0.0,102.0,0.0
2899,forgivingTitForTat,forgivingTitForTat,99,True,True,2,2,200,200,200.0,0.0,200.0,0.0
2999,forgivingTitForTat,strategyChecker,99,False,True,3,0,120,180,120.0,0.0,180.0,0.0
3099,strategyChecker,random,99,False,True,3,0,182,62,152.7,24.153881675623072,142.2,47.77195830191599
3199,strategyChecker,titForTat,99,True,True,2,2,197,197,197.0,0.0,197.0,0.0
3299,strategyChecker,alwaysTrue,99,False,True,3,0,298,4,298.0,0.0,4.0,0.0
3399,strategyChecker,alwaysFalse,99,False,False,1,1,98,104,98.0,0.0,104.0,0.0
3499,strategyChecker,forgivingTitForTat,99,True,False,0,3,180,120,180.0,0.0,120.0,0.0
3599,strategyChecker,strategyChecker,99,True,True,2,2,150,150,150.0,0.0,150.0,0.0
