firstAlg,secondAlg,step,firstOut,secondOut,firstGain,secondGain,firstPoints,secondPoints
random,random,0,false,false,1,1,1,1
random,random,1,false,true,3,0,4,1
random,random,2,true,false,0,3,4,4
random,random,3,true,true,2,2,6,6
random,random,4,false,true,3,0,9,6
random,random,5,true,false,0,3,9,9
random,random,6,false,true,3,0,12,9
random,random,7,false,true,3,0,15,9
random,random,8,true,false,0,3,15,12
random,random,9,true,true,2,2,17,14
random,random,10,false,true,3,0,20,14
random,random,11,true,false,0,3,20,17
random,random,12,false,true,3,0,23,17
random,random,13,false,false,1,1,24,18
random,random,14,false,false,1,1,25,19
random,random,15,false,true,3,0,28,19
random,random,16,true,true,2,2,30,21
random,random,17,false,true,3,0,33,21
random,random,18,true,false,0,3,33,24
random,random,19,true,true,2,2,35,26
random,random,20,true,false,0,3,35,29
random,random,21,true,false,0,3,35,32
random,random,22,true,false,0,3,35,35
random,random,23,false,false,1,1,36,36
random,random,24,true,false,0,3,36,39
random,random,25,true,true,2,2,38,41
random,random,26,true,true,2,2,40,43
random,random,27,true,false,0,3,40,46
random,random,28,false,true,3,0,43,46
random,random,29,false,false,1,1,44,47
random,random,30,false,false,1,1,45,48
random,random,31,true,false,0,3,45,51
random,random,32,false,true,3,0,48,51
random,random,33,true,true,2,2,50,53
random,random,34,false,true,3,0,53,53
random,random,35,true,false,0,3,53,56
random,random,36,false,true,3,0,56,56
random,random,37,false,false,1,1,57,57
random,random,38,true,false,0,3,57,60
random,random,39,false,false,1,1,58,61
random,random,40,true,true,2,2,60,63
random,random,41,false,false,1,1,61,64
random,random,42,true,false,0,3,61,67
random,random,43,false,true,3,0,64,67
random,random,44,false,false,1,1,65,68
random,random,45,false,true,3,0,68,68
random,random,46,true,false,0,3,68,71
random,random,47,true,false,0,3,68,74
random,random,48,true,true,2,2,70,76
random,random,49,true,false,0,3,70,79
random,random,50,true,false,0,3,70,82
random,random,51,false,true,3,0,73,82
random,random,52,false,true,3,0,76,82
random,random,53,true,false,0,3,76,85
random,random,54,true,true,2,2,78,87
random,random,55,true,true,2,2,80,89
random,random,56,false,true,3,0,83,89
random,random,57,true,false,0,3,83,92
random,random,58,false,false,1,1,84,93
random,random,59,true,false,0,3,84,96
random,random,60,false,true,3,0,87,96
random,random,61,true,false,0,3,87,99
random,random,62,false,false,1,1,88,100
random,random,63,false,true,3,0,91,100
random,random,64,true,true,2,2,93,102
random,random,65,false,true,3,0,96,102
random,random,66,true,false,0,3,96,105
random,random,67,false,false,1,1,97,106
